site_id,Day,Month,Year,survey_date,surveyor1,pit_tag_id,pit_tag_status,frog_sex,frog_state,frog_location,total_weight,bag_weight,frog_weight,frog_svl,swab_id,swab_id_full,swabber_name,frog_comments,ZE,lifestage,gosner_stage
14345,23,8,2012,8/23/12,Knapp,NA,NA,NA,healthy,in_lake,4,2.5,1.5,24,15340,NA,Knapp,J liv plate taken,748.8,Juvenile,NA
14345,23,8,2012,8/23/12,Knapp,NA,NA,NA,healthy,in_lake,4,2.5,1.5,26.2,15343,NA,Knapp,J liv plate taken,15864,Juvenile,NA
14345,23,8,2012,8/23/12,Knapp,NA,NA,NA,healthy,in_lake,4,2.5,1.5,26.5,15341,NA,Knapp,J liv plate taken,14244.8,Juvenile,NA
14309,22,8,2012,8/22/12,Knapp,NA,NA,NA,healthy,in_lake,4,2.5,1.5,27.2,15305,NA,Ellison,J liv plate taken,162.4,Juvenile,NA
14221,21,8,2012,8/21/12,Knapp,NA,NA,NA,healthy,in_lake,4,2,2,27.3,14688,NA,Knapp,NA,7434.4,Juvenile,NA
14345,23,8,2012,8/23/12,Knapp,NA,NA,NA,healthy,in_lake,5,2.5,2.5,27.5,15342,NA,Knapp,J liv plate taken,203.2,Juvenile,NA
14305,22,8,2012,8/22/12,Knapp,NA,NA,NA,healthy,outlet,4.5,2.5,2,27.7,15300,NA,Knapp,J liv plate taken,3272.8,Juvenile,NA
14309,22,8,2012,8/22/12,Knapp,NA,NA,NA,healthy,in_lake,5,2.5,2.5,28,15336,NA,Knapp,J liv plate taken,47.76,Juvenile,NA
14221,21,8,2012,8/21/12,Knapp,NA,NA,NA,healthy,in_lake,4.5,2,2.5,28.3,15402,NA,Knapp,J liv plate taken,2131.2,Juvenile,NA
14309,22,8,2012,8/22/12,Knapp,NA,NA,NA,healthy,in_lake,5,2.5,2.5,28.5,15339,NA,Knapp,J liv plate taken,13533.6,Juvenile,NA
14221,21,8,2012,8/21/12,Knapp,NA,NA,NA,healthy,in_lake,4,2,2,28.6,14689,NA,Knapp,NA,5744,Juvenile,NA
14309,22,8,2012,8/22/12,Knapp,NA,NA,NA,healthy,in_lake,5.5,2.5,3,28.7,15338,NA,Knapp,A little lethargic. J liv plate taken.,2620.8,Juvenile,NA
14309,22,8,2012,8/22/12,Knapp,NA,NA,NA,healthy,inlet,4.5,2.5,2,29,15309,NA,Ellison,J liv plate taken,901.6,Juvenile,NA
