Isolate,Sample_Type,Day1_Rep1,Day1_Rep2,Day1_Rep3,Day1_Rep4,Day1_Rep5,Day2_Rep1,Day2_Rep2,Day2_Rep3,Day2_Rep4,Day2_Rep5,Day3_Rep1,Day3_Rep2,Day3_Rep3,Day3_Rep4,Day3_Rep5,Day4_Rep1,Day4_Rep2,Day4_Rep3,Day4_Rep4,Day4_Rep5,Day5_Rep1,Day5_Rep2,Day5_Rep3,Day5_Rep4,Day5_Rep5,Day6_Rep1,Day6_Rep2,Day6_Rep3,Day6_Rep4,Day6_Rep5
Negative,Negative,0.0399,0.0408,0.0399,NA,NA,0.0393,0.0402,0.0392,NA,NA,0.0388,0.04,0.0392,NA,NA,NA,NA,NA,NA,NA,0.038,0.0393,0.0387,NA,NA,0.037,0.0382,0.0366,NA,NA
SE01,Query,0.0428,0.0433,0.0423,0.0544,0.0422,0.1129,0.0986,0.0835,0.0879,0.1032,0.2797,0.4599,0.1469,0.1397,0.413,0.2606,0.534,0.17,0.169,0.4381,0.2459,0.3627,0.1554,0.135,0.3024,0.187,0.3235,0.1355,0.118,0.3291
SE02,Query,0.0477,0.0462,0.0468,0.0478,0.0488,0.0744,0.0803,0.0827,0.0903,0.1135,0.1429,0.1741,0.1533,0.2112,0.2446,0.1424,0.1433,0.1399,0.1947,0.2579,0.1052,0.0931,0.0935,0.108,0.1338,0.092,0.0832,0.0709,0.0757,0.1078
SE03,Query,0.0538,0.0459,0.0594,0.0459,0.0528,0.0568,0.0484,0.0582,0.0474,0.0522,0.0599,0.0469,0.0591,0.0452,0.0529,0.055,0.0452,0.0618,0.0454,0.0512,0.0549,0.0439,0.0497,0.0458,0.0518,0.0468,0.041,0.0471,0.0457,0.0565
SE04,Query,0.0465,0.0488,0.0492,0.046,0.052,0.0482,0.0508,0.0514,0.0491,0.0533,0.047,0.0476,0.0495,0.0463,0.053,0.0463,0.0487,0.0524,0.0463,0.0542,0.0463,0.0489,0.051,0.0458,0.0529,0.0455,0.0496,0.0494,0.0479,0.0453
SE05,Query,0.0467,0.0441,0.0436,0.0484,0.0629,0.0481,0.0478,0.0474,0.0543,0.0602,0.0533,0.0525,0.0569,0.0608,0.0594,0.0503,0.0472,0.0531,0.0504,0.0594,0.0473,0.0468,0.0486,0.0442,0.0526,0.0473,0.0468,0.0486,0.0442,0.0526
SE06,Query,0.0445,0.0449,0.0443,0.0466,0.0439,0.1581,0.1594,0.1773,0.1709,0.1658,0.2002,0.2065,0.2297,0.216,0.2217,0.2247,0.252,0.259,0.2428,0.2651,0.2548,0.2838,0.2659,0.2527,0.2674,0.2759,0.2829,0.2565,0.2518,0.2619
SE07,Query,0.0416,0.0459,0.0462,0.0439,0.0525,0.1598,0.1592,0.1645,0.1631,0.1743,0.2265,0.2613,0.2483,0.2941,0.398,0.2338,0.2047,0.2164,0.3689,0.5421,0.2137,0.1812,0.1603,0.3835,0.4121,0.1534,0.1578,0.1404,0.3037,0.3986
SE08,Query,0.0462,0.0434,NA,0.0576,0.0428,0.0646,0.0463,NA,0.0686,0.053,0.0787,0.0485,NA,0.0626,0.049,0.0507,0.0474,NA,0.0677,0.047,0.0509,0.0457,NA,0.0661,0.0459,0.0457,0.0429,NA,0.0687,0.0454
SE09,Query,0.0802,0.0489,0.0448,0.044,0.0447,0.2002,0.1754,0.191,0.1778,0.1838,0.2507,0.2702,0.3134,0.2451,0.2695,0.2313,0.4603,0.359,0.2925,0.3272,0.3314,0.309,0.2588,0.2954,0.3992,0.2471,0.3627,0.2565,0.2997,0.5057
SE10,Query,0.0437,0.0444,0.0449,0.0461,0.0463,0.1928,0.2142,0.2106,0.2361,0.2518,0.3008,0.3853,0.2576,0.2733,0.2215,0.4316,0.4149,0.2718,0.2145,0.2177,0.2781,0.2698,0.2677,0.3358,0.2662,0.3057,0.3155,0.2629,0.2961,0.2433
SE11,Query,0.0459,0.0595,0.0526,0.0595,0.0489,0.1968,0.1905,0.1969,0.1976,0.1996,0.188,0.2036,0.255,0.2204,0.2611,0.2056,0.2162,0.4807,0.2586,0.2668,0.2395,0.2474,0.4369,0.2824,0.2639,0.2151,0.2245,0.4103,0.2878,0.2759
SE12,Query,0.0424,0.0427,0.0482,0.0449,0.0431,0.1888,0.2061,0.2384,0.2219,0.344,0.282,0.5206,0.279,0.563,0.4144,0.2935,0.392,0.2221,0.5946,0.4124,0.2735,0.368,0.1931,0.5182,0.3933,0.1332,0.2617,0.1721,0.4956,0.2072
SE13,Query,0.0421,0.0461,0.0417,0.0426,0.0426,0.1426,0.1676,0.1606,0.1748,0.178,0.1593,0.1734,0.1583,0.1668,0.1814,0.1406,0.1864,0.1738,0.1531,0.1504,0.1365,0.2151,0.2197,0.1286,0.1322,0.1689,0.2373,0.2672,0.121,0.1241
SE14,Query,0.0449,0.0453,0.0434,0.0446,0.0428,0.1589,0.17,0.1601,0.1717,0.1614,0.1649,0.1595,0.177,0.1982,0.2267,0.161,0.1592,0.1594,0.1749,0.239,0.1204,0.1201,0.1156,0.1409,0.2033,0.1011,0.1032,0.0783,0.0898,0.0834
SE15,Query,0.0531,0.0441,0.0412,0.0426,0.0444,0.1563,0.2372,0.1362,0.1439,0.1434,0.2218,0.2668,0.1407,0.1881,0.1792,0.2578,0.2654,0.14,0.2316,0.1968,0.165,0.1928,0.1001,0.2086,0.22,0.1844,0.2227,0.0803,0.2191,0.2262
SE16,Query,0.0448,0.0425,0.0448,0.0465,0.0465,0.1475,0.1188,0.1422,0.143,0.1359,0.1514,0.1588,0.1495,0.1754,0.1553,0.1359,0.1491,0.1689,0.1764,0.148,0.111,0.1098,0.2294,0.1792,0.1516,0.0876,0.0897,0.2859,0.2626,0.1149
SE17,Query,0.0427,0.0486,0.0505,0.044,0.0448,0.1428,0.1919,0.1856,0.1677,0.1551,0.1945,0.2009,0.37,0.2442,0.1214,0.2019,0.2955,0.4149,0.2389,0.0963,0.1801,0.2697,0.6932,0.2581,0.1483,0.1457,0.2275,0.5846,0.3129,0.291
