"# Honey bee acetone, USA",.
number,degree.angle
1,314.55
2,134.56
3,4.88
4,46.3
5,56.34
6,179.97
7,207.65
8,128.75
9,47.38
10,57.65
11,34.99
12,189.36
13,1.35
14,340.54
15,28.99
16,266.05
17,31.42
18,249.69
19,150.7
20,218.04
21,223.7
22,39.94
23,267.93
24,160.53
25,211.74
26,309.1
27,198.9
28,270.11
29,229.25
30,88.07
31,322.77
32,54.73
33,138.18
34,170.91
35,69.72
36,68.94
37,83.85
38,95.08
39,59.13
40,18.31
41,102.83
42,246.4
43,2.5
44,60.94
45,25.26
46,111.96
47,39.45
48,266.5
49,48.46
50,41.67
51,155.09
52,57.31
53,156.29
54,160.46
55,71.08
56,105.84
57,106.56
58,1.12
59,56.26
60,265.47
61,48.71
62,232.34
63,133.08
64,311.47
65,48.33
66,195.11
67,13.97
68,29.38
69,135.08
70,38.68
71,27.96
72,170.76
73,2.07
74,37.32
75,22.63
76,295.37
77,30.99
78,17.9
79,58.24
80,155.43
81,69.32
82,166.62
83,98.7
84,10.09
85,28.56
