id,PAT_PTT,spot_tt,Date,B_50,B100,B150,B200,B_200,lon,lat,SST,DO_depth
F2_03,1901,25106,2003-07-02,1,0,0,0,0,-119.5079326,33.72029523,18,97
F2_03,1901,25106,2003-07-04,1,0,0,0,0,-118.6609533,33.34695572,17.2,78.5
F2_03,1901,25106,2003-07-05,1,0,0,0,0,-118.6175365,32.59418478,18.4,115
F2_03,1901,25106,2003-07-06,1,0,0,0,0,-118.686045,32.33117702,19,115
F2_03,1901,25106,2003-07-08,1,0,0,0,0,-118.3110373,31.09143749,18.2,146.5
F2_03,1901,25106,2003-07-09,1,0,0,0,0,-117.7651734,30.88330721,17.6,156.5
F2_03,1901,25106,2003-07-13,1,0,0,0,0,-116.8953477,30.10261721,19.6,145
F2_03,1901,25106,2003-07-15,1,0,0,0,0,-116.3063673,29.96696516,18.6,162
F2_03,1901,25106,2003-07-16,1,0,0,0,0,-116.0681654,29.77250163,18.8,162
F2_03,1901,25106,2003-07-18,1,0,0,0,0,-115.3590567,28.96552934,19.6,124
F2_03,1901,25106,2003-07-19,1,0,0,0,0,-115.1294379,28.51100511,19.4,124
F2_03,1901,25106,2003-07-28,0.6,0.4,0,0,0,-115.0283054,28.59358267,19.4,124
F2_03,1901,25106,2003-07-31,0.9085,0.0915,0,0,0,-114.9891574,28.30720508,20.4,85.5
F2_03,1901,25106,2003-08-01,1,0,0,0,0,-115.0533575,28.14049925,20.4,106.5
F2_03,1901,25106,2003-08-06,1,0,0,0,0,-115.1610732,27.02495539,21.2,120
F2_03,1901,25106,2003-08-07,1,0,0,0,0,-115.1086683,26.38645876,19,125
F2_03,1901,25106,2003-08-08,1,0,0,0,0,-114.9262931,26.28864847,20.6,105
F2_03,1901,25106,2003-08-11,1,0,0,0,0,-114.1950492,26.03175117,22.6,105
F2_03,1901,25106,2003-08-13,1,0,0,0,0,-114.0191801,25.97536582,22.2,110
F2_03,1901,25106,2003-08-14,1,0,0,0,0,-113.9586323,25.88068913,23.4,86.5
F2_03,1901,25106,2003-08-15,1,0,0,0,0,-114.10469,25.89223782,23.2,110
F2_03,1901,25106,2003-08-16,1,0,0,0,0,-114.2744704,25.86046698,23.6,110
F2_03,1901,25106,2003-08-17,0.944333333,0.055666667,0,0,0,-114.4324,25.81072319,24.2,110
F2_03,1901,25106,2003-08-18,1,0,0,0,0,-114.6357433,25.61514298,25.2,110
F2_03,1901,25106,2003-08-23,0.416472157,0.583527843,0,0,0,-113.8380679,26.50594811,23,50
F2_03,1901,25106,2003-08-24,0.983,0.017,0,0,0,-114.1587849,26.85690074,22,105
F2_03,1901,25106,2003-08-25,0.867,0.133,0,0,0,-114.3745916,26.78531598,22.8,105
F2_03,1901,25106,2003-08-26,0.867,0.1,0.033,0,0,-114.6514803,26.82096767,21.6,105
F2_03,1901,25106,2003-08-27,0.733266733,0.266733267,0,0,0,-114.4610527,26.96853139,21.8,105
F2_03,1901,25106,2003-08-30,1,0,0,0,0,-115.4374306,27.38128004,23.2,120
F2_03,1901,25106,2003-08-31,1,0,0,0,0,-115.8600422,27.7986026,20.8,120
F2_03,1901,25106,2003-09-02,0.275,0.725,0,0,0,-115.9553117,28.73405331,20.2,125
F2_03,1901,25106,2003-09-05,0.772075975,0.133288904,0.022325891,0,0.07230923,-115.0766582,28.73235248,18.8,125
F2_03,1901,25106,2003-09-07,1,0,0,0,0,-114.360335,28.60511665,23.4,91.5
F2_03,1901,25106,2003-09-12,0.605464845,0.07230923,0.049983339,0.060979673,0.211262912,-116.0708183,30.03980673,21.6,143
F2_03,1901,25106,2003-09-13,0.9368,0.0632,0,0,0,-116.1771677,30.47481464,20.8,143
F2_03,1901,25106,2003-09-14,1,0,0,0,0,-116.7448824,30.88240453,21.6,143
F2_03,1901,25106,2003-09-19,0.972333333,0.027666667,0,0,0,-117.0009642,31.89742193,19.4,146.5
F2_03,1901,25106,2003-09-22,0.9335,0.0665,0,0,0,-117.3212846,32.1552406,20.8,125
F2_03,1901,25106,2003-09-23,1,0,0,0,0,-117.5404777,32.3350685,21.2,125
F2_03,1901,25106,2003-09-24,0.574712644,0.033483258,0.04197901,0.024987506,0.324837581,-117.9377185,32.53872174,21,125
F2_03,1901,25106,2003-09-26,1,0,0,0,0,-118.2593739,32.6091454,19.4,134
F2_03,1901,25106,2003-09-28,1,0,0,0,0,-117.263343,32.5161964,20.6,125
F2_03,1901,25106,2003-09-29,1,0,0,0,0,-117.5659867,32.34792117,20.2,125
F2_03,1901,25106,2003-09-30,0.833,0.05,0.1,0.017,0,-117.545984,32.77838746,20.4,125
F2_03,1901,25106,2003-10-01,0.750333333,0.055333333,0.094333333,0.1,0,-117.4934176,32.54477277,20.6,130
F2_03,1901,25106,2003-10-02,0.516741629,0.049975012,0.274862569,0.15842079,0,-117.5106785,32.86036913,20.2,130
F2_03,1901,25106,2003-10-04,0.833166667,0.0085,0.036166667,0.122166667,0,-117.4023993,32.33680275,19.8,130
F2_03,1901,25106,2003-10-06,0.891554223,0.024987506,0.083458271,0,0,-117.2851093,32.51110064,19.4,130
F2_03,1901,25106,2003-10-11,0.824587706,0.04197901,0.008495752,0.124937531,0,-116.0835499,30.20192187,18.2,155
F2_03,1901,25106,2003-10-15,1,0,0,0,0,-114.93921,28.9689366,19.8,89.5
F2_03,1901,25106,2003-10-16,1,0,0,0,0,-114.9030906,28.85570161,19.4,89.5
F2_03,1901,25106,2003-10-18,0.716283716,0.266733267,0.016983017,0,0,-114.95227,28.80287612,20,89.5
F2_03,1901,25106,2003-10-19,1,0,0,0,0,-114.8339944,28.73197088,19.6,89.5
F2_03,1901,25106,2003-10-20,0.833333333,0.166666667,0,0,0,-114.6980057,28.68242043,19.4,89.5
F2_03,1901,25106,2003-10-22,1,0,0,0,0,-114.7264419,28.88954217,20,89.5
F2_03,1901,25106,2003-10-25,0.833,0.167,0,0,0,-114.8962387,28.86460794,20.4,89.5
F2_03,1901,25106,2003-10-26,0.805666667,0.177666667,0.016666667,0,0,-114.9315736,28.77969208,20.2,89.5
F2_03,1901,25106,2003-10-29,1,0,0,0,0,-114.8528032,28.73181408,20.2,89.5
F2_03,1901,25106,2003-10-30,0.78907031,0.155281573,0.055648117,0,0,-114.8624153,28.76857555,20,89.5
F2_03,1901,25106,2003-11-01,1,0,0,0,0,-114.5902216,28.60204889,20,80
F2_03,1901,25106,2003-11-04,1,0,0,0,0,-115.3502823,27.6387371,21.4,97.5
F2_03,1901,25106,2003-11-08,1,0,0,0,0,-114.0124779,26.77856779,22,86.5
F2_03,1901,25106,2003-11-10,0.333,0.667,0,0,0,-113.2443405,26.10890806,23.4,50
F2_03,1901,25106,2003-11-11,0.425287356,0.299850075,0.274862569,0,0,-113.2689301,26.20420217,23.6,50
F2_03,1901,25106,2003-11-18,0.672333333,0.327666667,0,0,0,-113.3905488,26.04780325,22.2,50
F2_03,1901,25106,2003-11-21,0.2585,0.7415,0,0,0,-113.0287137,26.03931139,22.2,50
F2_03,1901,25106,2003-11-26,0.8,0.2,0,0,0,-113.2727448,26.14972631,21.6,50
F2_03,1901,25106,2003-12-01,0.687578105,0.312421895,0,0,0,-113.2581165,26.24367804,20.8,50
F2_03,1901,25106,2003-12-02,0.467,0.533,0,0,0,-113.1042337,26.04054579,21.8,50
F2_03,1901,25106,2003-12-11,0.858,0.142,0,0,0,-113.2702129,25.86908323,21.6,99
F2_03,1901,25106,2003-12-14,0.908545727,0.091454273,0,0,0,-113.2880313,26.15322887,20.8,50
F2_03,1901,25106,2003-12-15,0.839,0.161,0,0,0,-113.2901113,26.11963191,20.8,50
F2_03,1901,25106,2003-12-27,1,0,0,0,0,-113.7295699,25.97774392,20.6,99
M2_03,1902,19570,2003-07-05,0.992,0.008,0,0,0,-118.9343395,32.5179657,17.6,115
M2_03,1902,19570,2003-07-08,1,0,0,0,0,-118.6059753,31.39987019,18.2,146.5
M2_03,1902,19570,2003-07-10,1,0,0,0,0,-117.0466379,31.39680822,18,138
M2_03,1902,19570,2003-07-14,0.952666667,0.047333333,0,0,0,-115.7075563,28.44518349,19.6,124
M2_03,1902,19570,2003-07-15,1,0,0,0,0,-115.7257688,27.73311343,19.4,131.5
M2_03,1902,19570,2003-07-17,0.992,0.008,0,0,0,-114.7892411,26.27216334,20,113.5
M2_03,1902,19570,2003-07-18,0.767,0.233,0,0,0,-114.6548401,25.59919339,21.6,114.5
M2_03,1902,19570,2003-07-23,0.562718641,0.437281359,0,0,0,-113.9978526,23.12726731,22.8,100.5
M2_03,1902,19570,2003-07-28,0.708,0.292,0,0,0,-113.5729102,22.31083126,24.2,102.5
M2_03,1902,19570,2003-07-29,0.642,0.258,0.1,0,0,-113.0372868,22.34972693,23.8,102.5
M2_03,1902,19570,2003-08-07,1,0,0,0,0,-114.4600392,26.42529175,19.6,105
M2_03,1902,19570,2003-08-10,1,0,0,0,0,-114.5401008,26.19073609,20.6,105
M2_03,1902,19570,2003-08-11,1,0,0,0,0,-114.5653599,26.25589196,21.4,105
M2_03,1902,19570,2003-08-12,1,0,0,0,0,-114.5449308,26.35493187,21.4,105
M2_03,1902,19570,2003-08-13,0.992,0.008,0,0,0,-114.6666196,26.48325172,21.4,105
M2_03,1902,19570,2003-08-23,1,0,0,0,0,-115.8817465,27.38806755,21.4,120
M2_03,1902,19570,2003-08-26,0.904,0.071,0.025,0,0,-116.9004766,28.14537582,21.6,143.5
M2_03,1902,19570,2003-09-01,0.758333333,0.102666667,0.047333333,0.091666667,0,-115.3039557,28.72262477,20.6,125
M2_03,1902,19570,2003-09-02,0.687343672,0.312656328,0,0,0,-115.4312949,28.53317991,20.4,125
M2_03,1902,19570,2003-09-03,0.158460385,0.841539615,0,0,0,-115.7196087,28.37885519,21.8,125
M2_03,1902,19570,2003-09-05,0.653,0.188666667,0.125,0.033333333,0,-115.0948257,28.53981514,21.2,125
M2_03,1902,19570,2003-09-11,0.475,0.525,0,0,0,-114.7126983,28.89105853,22.6,91.5
M2_03,1902,19570,2003-09-16,0.142,0.858,0,0,0,-114.3545252,28.43968887,23.4,91.5
M2_03,1902,19570,2003-09-20,0.474868717,0.525131283,0,0,0,-114.3526371,28.16624189,21.6,91.5
M2_03,1902,19570,2003-09-21,0.35832084,0.64167916,0,0,0,-114.8798135,28.11239572,21.6,91.5
M2_03,1902,19570,2003-09-22,1,0,0,0,0,-114.5831865,28.52982469,20.8,91.5
M2_03,1902,19570,2003-09-23,0.583,0.417,0,0,0,-114.5634576,28.75580654,21.4,91.5
M2_03,1902,19570,2003-09-24,0.716716717,0.283283283,0,0,0,-114.5603956,28.77704201,21,91.5
M2_03,1902,19570,2003-09-27,1,0,0,0,0,-114.550406,28.58617393,20.8,91.5
M2_03,1902,19570,2003-10-01,1,0,0,0,0,-114.7438175,28.8046027,21,89.5
M2_03,1902,19570,2003-10-04,0.869420386,0.130579614,0,0,0,-114.5019234,28.64313492,19.4,89.5
M2_03,1902,19570,2003-10-08,1,0,0,0,0,-114.6148805,28.44415768,19.8,89.5
M2_03,1902,19570,2003-10-15,0.85014985,0.14985015,0,0,0,-114.5301534,28.53842964,19.8,89.5
M2_03,1902,19570,2003-10-20,1,0,0,0,0,-114.5920563,28.77451975,20.4,89.5
M2_03,1902,19570,2003-10-25,1,0,0,0,0,-114.763985,28.91457478,20.2,89.5
M2_03,1902,19570,2003-11-07,0.291291291,0.708708709,0,0,0,-114.2853644,28.43546975,19,80
M2_03,1902,19570,2003-11-13,1,0,0,0,0,-114.2356107,28.38969681,19.4,80
M2_03,1902,19570,2003-11-16,0.516516517,0.483483483,0,0,0,-114.448311,28.77756185,18.6,80
M2_03,1902,19570,2003-11-22,0.541541542,0.458458458,0,0,0,-114.3170824,28.64824111,18.4,80
M2_03,1902,19570,2003-11-23,0.891891892,0.108108108,0,0,0,-114.4407217,28.15058138,18,80
M2_03,1902,19570,2003-11-27,0.85,0.15,0,0,0,-114.7510983,28.93976424,17.4,80
M2_03,1902,19570,2003-12-26,0.783,0.217,0,0,0,-115.2302355,28.54136398,16.8,122
M2_03,1902,19570,2004-01-05,1,0,0,0,0,-114.7302463,28.82091636,16.2,100
M2_03,1902,19570,2004-01-06,0.708354177,0.291645823,0,0,0,-114.9209018,28.93794711,16,100
F3_03A,25107,25105,2003-07-01,1,0,0,0,0,-119.390609,33.92530854,22.4,97
F3_03A,25107,25105,2003-07-02,1,0,0,0,0,-119.1211439,33.46985814,19,97
F3_03A,25107,25105,2003-07-03,1,0,0,0,0,-118.9567146,32.8170586,18.2,115
F3_03A,25107,25105,2003-07-04,1,0,0,0,0,-118.7794953,32.20953825,18.6,115
F3_03A,25107,25105,2003-07-05,1,0,0,0,0,-118.768687,32.01902529,19,115
F3_03A,25107,25105,2003-07-06,0.99919976,0.00080024,0,0,0,-118.9461549,31.76807969,19.2,146.5
F3_03A,25107,25105,2003-07-07,0.976693008,0.015004501,0.0050015,0.00330099,0,-118.451798,31.52083324,18.8,146.5
